#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
45,Chris Owings,COL,4.5,1.6,-0.4,0.7,-0.3,0,0,14.21,8.27,-5.05,13.81,-15.72,0,0
46,Max Muncy,LAD,4.5,1.6,0.1,-0.2,2.1,-0.1,0,1.83,1.41,0.40,-0.33,2.48,-0.91,0
47,Jared Walsh,LAA,4.5,1.4,0.1,1.8,2.2,0.0,0,2.29,1.36,0.56,2.71,3.12,-0.84,0
48,Brandon Crawford,SFG,4.5,-1.0,-0.2,-0.8,0.7,0.2,0,2.88,-1.38,-0.93,-3.33,1.01,5.55,0
49,Pete Alonso,NYM,4.5,0.3,0.6,0.6,0.8,-0.6,0,2.13,0.37,2.57,2.49,1.81,-9.86,0
50,David Peralta,ARI,4.5,2.2,1.1,-2.7,0.0,-0.1,0,2.07,2.85,4.47,-6.58,-0.09,-1.05,0
51,Guillermo Heredia,ATL,4.4,0.0,1.2,-0.5,-0.2,0.1,0,3.83,0.01,8.00,-1.64,-1.45,5.96,0
52,J.T. Realmuto,PHI,4.4,0.3,1.0,0.7,0.9,0.8,0,2.26,0.26,3.74,3.19,2.97,6.56,0
53,Dominic Smith,NYM,4.3,-1.4,-1.3,-1.9,-3.3,-0.2,0,2.86,-2.47,-4.53,-7.13,-5.06,-3.58,0
54,Eric Hosmer,SDP,4.3,0.2,0.8,-0.8,1.7,-0.6,0,1.96,0.23,3.27,-1.07,2.86,-5.14,0
55,Franmil Reyes,CLE,4.3,1.2,0.0,1.3,-0.4,0.2,0,2.08,1.12,0.24,2.37,-0.77,3.60,0
56,Yandy Diaz,TBR,4.2,-0.7,0.3,0.5,-0.1,0.0,0,1.72,-0.74,0.67,1.35,-0.14,-0.70,0
57,Luis Arraez,MIN,4.2,0.6,-2.1,0.4,1.9,-0.7,0,1.58,1.02,-5.12,0.86,3.82,-7.22,0
58,Dylan Carlson,STL,4.2,1.2,0.4,-2.7,0.4,0.9,0,1.69,1.64,1.38,-4.93,0.37,5.85,0
59,Will Smith,LAD,4.2,-1.8,-2.0,-0.2,0.4,1.3,0,2.10,-1.69,-8.27,-0.60,1.24,43.69,0
60,Nico Hoerner,CHC,4.1,1.2,-0.4,1.2,-0.3,0,0,4.94,3.16,-2.55,5.03,-1.45,0,0
61,Whit Merrifield,KCR,4.1,-3.2,-0.7,0.2,2.9,0.6,0,1.92,-2.82,-2.59,0.34,7.96,10.73,0
62,J.D. Martinez,BOS,3.9,2.3,-1.2,5.9,1.1,1.4,0,1.82,2.12,-4.26,9.14,2.71,18.03,0
63,Rhys Hoskins,PHI,3.9,-0.7,2.0,0.2,-2.9,-0.2,0,1.32,-0.49,7.04,0.47,-5.52,-1.76,0
64,Salvador Perez,KCR,3.9,1.7,2.1,-0.5,-2.4,-0.2,0,2.20,1.43,5.75,-1.13,-4.70,-4.12,0
65,Asdrubal Cabrera,ARI,3.8,0.1,-1.2,0.1,1.6,0.4,0,1.85,0.12,-6.57,0.34,3.57,8.28,0
66,Ryan Zimmerman,WSN,3.8,-1.0,0.1,0.2,0.3,0,0,3.55,-2.26,0.84,0.45,2.46,0,0
67,Tucker Barnhart,CIN,3.7,0.5,1.3,0.3,-0.3,-0.4,0,2.38,0.94,6.69,0.83,-0.61,-19.72,0
68,Josh Rojas,ARI,3.6,2.6,-0.8,0.0,-1.2,-0.2,0,2.12,3.53,-4.30,0.06,-2.45,-2.55,0
69,Ramon Laureano,OAK,3.6,0.6,0.8,1.3,0.3,-0.2,0,1.47,0.54,2.26,3.10,0.88,-2.62,0
70,Jesus Aguilar,MIA,3.6,5.0,-0.8,0.3,-2.3,-0.4,0,1.66,5.66,-3.13,0.60,-5.98,-9.15,0
71,Kolten Wong,MIL,3.5,0.6,0.4,-1.6,0.9,0.3,0,2.26,1.44,1.40,-4.40,2.17,2.53,0
72,Matt Olson,OAK,3.5,2.3,0.7,-1.1,0.9,-0.9,0,1.58,2.73,2.32,-1.89,2.48,-7.44,0
73,Josh Naylor,CLE,3.3,-3.3,0.8,1.7,-1.3,-0.3,0,2.20,-4.12,7.23,4.31,-3.09,-8.96,0
74,Austin Hays,BAL,3.3,-1.5,-0.7,-1.5,1.2,-0.3,0,2.90,-2.88,-2.11,-5.68,3.01,-6.47,0
75,Yadier Molina,STL,3.3,0.3,0.8,1.3,2.0,0.0,0,2.37,0.38,5.03,9.93,10.06,-1.06,0
76,Jason Castro,HOU,3.2,0.8,-0.6,-0.1,-0.5,0,0,4.18,2.21,-3.33,-0.88,-2.08,0,0
77,Enrique Hernandez,BOS,3.2,-0.3,-1.2,0.0,-1.5,-0.2,-0.1,1.22,-0.33,-3.05,-0.05,-2.08,-8.60,-4.80
78,Mookie Betts,LAD,3.1,-0.6,1.1,-1.4,0.8,1.2,0,1.22,-0.53,3.44,-3.11,2.22,11.98,0
79,Corey Seager,LAD,3.1,2.3,-0.5,-0.1,-2.2,0.3,0,1.87,1.79,-1.46,-0.10,-2.85,3.70,0
80,Buster Posey,SFG,3.1,3.1,2.5,-0.4,0.9,0.3,0,2.12,4.32,9.54,-2.19,3.06,5.72,0
81,Kyle Seager,SEA,3.1,0.4,1.1,-2.0,-0.1,0.5,0,1.27,0.61,3.63,-3.20,-0.17,5.46,0
82,Ozzie Albies,ATL,3.1,0.3,-0.3,1.0,0.7,-0.5,0,1.35,0.67,-0.70,1.88,0.76,-7.84,0
83,Jake Marisnick,CHC,3.1,0.3,1.2,-0.6,1.2,0,0,2.58,0.52,5.27,-3.38,4.50,0,0
84,Brett Phillips,TBR,3.0,-1.7,-0.7,-0.1,-0.1,-0.3,0,2.42,-5.57,-4.39,-0.71,-0.43,-5.28,0
85,Tyler Stephenson,CIN,3.0,-1.6,-0.6,1.0,-0.4,0,0,2.40,-4.90,-5.04,4.55,-2.74,0,0
86,Andy Young,ARI,3.0,-0.2,0.3,-0.2,1.5,0,0,10.35,-1.57,4.67,-5.99,24.44,0,0
87,Jace Peterson,MIL,3.0,-0.7,-0.5,-0.4,-0.7,0,0,5.03,-3.87,-4.94,-1.44,-3.97,0,0
88,Juan Soto,WSN,3.0,-1.0,0.0,1.0,-0.7,0,0,2.45,-2.53,0.03,2.85,-1.67,0,0
89,Trea Turner,WSN,2.9,-0.7,1.1,3.0,-1.0,0.0,0,1.29,-0.71,5.34,6.10,-1.83,-3.88,0
90,Gio Urshela,NYY,2.9,-1.9,3.0,-2.1,-0.9,0.0,0,1.46,-2.20,6.03,-4.72,-2.48,-0.44,0
91,Austin Riley,ATL,2.9,-2.0,-0.5,1.8,3.5,0.5,0,1.21,-2.61,-1.44,5.17,10.00,27.05,0
92,Eduardo Escobar,ARI,2.9,-3.5,-0.7,3.2,2.0,0,0,1.17,-3.00,-2.36,7.60,3.16,0,0
93,Jose Ramirez,CLE,2.8,0.4,1.0,4.2,1.4,-0.4,0,1.20,0.56,5.79,8.90,1.30,-10.40,0
94,Willy Adames,TBR,2.8,-3.3,0.7,-1.0,-2.4,-0.7,0,1.31,-3.73,2.45,-3.69,-4.76,-7.10,0
95,Jarrod Dyson,KCR,2.8,-0.6,-0.2,-0.4,-0.4,0.0,0,8.03,-6.14,-10.31,-5.14,-4.35,3.25,0
96,Josh Harrison,WSN,2.7,-1.5,-0.7,1.2,3.3,0.0,0,2.05,-2.39,-4.14,6.89,19.12,-1.97,0
97,Brandon Nimmo,NYM,2.7,0.1,0.5,0.8,2.0,0,0,1.38,0.13,4.21,3.15,5.09,0,0
98,Akil Baddoo,DET,2.7,-1.9,-1.5,1.3,0.6,-0.5,0,1.69,-4.07,-7.97,4.36,1.16,-3.70,0
99,Freddy Galvis,BAL,2.6,0.5,0.8,0.0,-1.4,-0.1,0,1.27,1.23,6.44,-0.16,-2.13,-1.66,0
100,Jurickson Profar,SDP,2.5,-2.0,-0.2,0.4,-2.2,0.3,0,0.97,-2.56,-0.55,0.64,-3.01,4.37,0
101,Brandon Lowe,TBR,2.5,-3.2,2.2,-0.3,-0.7,0.2,0,1.11,-3.74,7.67,-0.45,-0.91,1.58,0
102,Lorenzo Cain,MIL,2.5,-1.3,-0.1,0.2,0.0,-0.1,0,2.85,-6.20,-0.62,1.84,0.13,-3.20,0
103,George Springer,TOR,2.4,-0.1,-0.5,0.1,-0.7,0,0,5.63,-1.48,-5.36,0.88,-9.18,0,0
104,Robbie Grossman,DET,2.4,-0.2,0.7,0.7,-0.4,-1.3,0,0.79,-0.45,1.37,0.98,-0.68,-9.62,0
105,Stephen Vogt,ARI,2.4,-1.2,0.0,0.7,-0.5,-0.4,0,2.17,-1.85,-0.39,5.83,-2.25,-6.61,0
106,Alejandro Kirk,TOR,2.4,-0.1,-1.3,1.5,-1.1,0,0,3.05,-0.14,-7.75,6.67,-7.43,0,0
