#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
53,Zac Gallen,ARI,3.4,0.8,-1.6,0.7,0.3,0,0,1.41,6.94,-2.54,1.35,0.39,0,0
54,Zack Littell,SFG,3.4,0,-0.6,0,-1.5,0,0,4.00,0,-0.89,0,-9.31,0,0
55,Jordan Sheffield,COL,3.4,0,0,-0.5,0.6,0,0,1.84,0,0,-1.05,1.87,0,0
56,Deolis Guerra,OAK,3.3,0,-1.3,0.2,1.9,0,0,2.07,0,-1.99,0.84,1.97,0,0
57,Brandon Bielak,HOU,3.3,-2.2,-0.2,-1.2,1.0,0,0,1.77,-3.73,-0.92,-4.12,2.69,0,0
58,Anthony Bender,MIA,3.2,1.0,0,0,0,-0.5,0,4.17,1.46,0,0,0,-50.51,0
59,Josh Staumont,KCR,3.2,0,0,-0.3,0,0,0,1.11,0,0,-0.24,0,0,0
60,Josh Fleming,TBR,3.2,0,1.4,-2.0,2.7,0,0,1.25,0,0.78,-11.87,2.00,0,0
61,Chris Martin,ATL,3.0,-0.1,0.2,0,0,-0.6,0,6.06,-0.43,1.72,0,0,-5.74,0
62,Nick Pivetta,BOS,3.0,4.2,0,-2.5,-2.2,0,0,0.62,1.58,0,-1.35,-20.07,0,0
63,Jordan Montgomery,NYY,3.0,0,-2.9,3.1,1.0,0,0,1.03,0,-2.28,1.53,0.52,0,0
64,Steven Matz,TOR,3.0,-0.3,0,-3.9,-0.5,0,0,0.72,-0.25,0,-2.68,-0.22,0,0
65,Tyler Rogers,SFG,2.9,1.6,0,0,0,0,0,1.17,1.05,0,0,0,0,0
66,Garrett Richards,BOS,2.9,-3.6,0,-1.0,0,0,0,0.57,-1.66,0,-0.59,0,0,0
67,John Curtiss,MIA,2.9,-3.8,0,0,0,0,0,1.70,-2.13,0,0,0,0,0
68,Tommy Nance,CHC,2.8,-0.3,0,0.1,0,0,0,5.69,-2.93,0,0.62,0,0,0
69,Sean Reid-Foley,NYM,2.8,0.3,0,0,0.9,0,0,2.74,0.56,0,0,3.92,0,0
70,Caleb Baragar,SFG,2.8,-0.4,0,-0.1,0,0,0,1.20,-0.86,0,-6.47,0,0,0
71,Evan Marshall,CHW,2.8,0,0,0.3,-3.8,0,0,2.55,0,0,0.37,-3.88,0,0
