#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
57,Dallas Keuchel,CHW,-1.8,-1.5,-0.2,,3.8,,,-0.89,-4.68,-0.22,,2.46,,
58,Mike Foltynewicz,TEX,-1.8,-1.2,,-2.6,-0.6,,,-0.55,-0.88,,-11.88,-1.22,,
59,Joe Musgrove,SDP,-2.0,6.6,-1.7,2.3,1.5,,,-1.88,4.60,-1.36,2.31,2.89,,
60,Zack Greinke,HOU,-2.0,-1.9,,3.9,2.3,,,-0.70,-3.22,,2.86,1.61,,
61,Adam Wainwright,STL,-3.1,,-2.9,2.5,1.5,,,-1.63,,-2.13,1.45,3.84,,
62,Corey Kluber,NYY,-3.3,,2.4,0.2,2.3,,,-1.96,,1.68,0.17,4.07,,
63,Merrill Kelly,ARI,-3.4,,-0.5,-0.9,-2.0,,,-1.15,,-1.23,-0.80,-2.16,,
64,Kenta Maeda,MIN,-4.3,-5.7,,0.0,-1.0,,,-3.18,-2.95,,0.03,-0.80,,
65,Zach Plesac,CLE,-6.6,4.5,,0.7,1.6,,,-3.34,3.45,,1.13,1.33,,
66,Luis Castillo,CIN,-7.7,0.1,,,-0.4,,,-3.18,0.17,,,-0.19,,
1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages,1 Page size: select  66 items in 1 pages
