#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
154,Phillip Evans,PIT,-3.5,3.1,0.2,0.1,1.4,0.2,,-1.74,2.85,0.90,0.29,5.10,4.04,
155,Gregory Polanco,PIT,-3.8,-0.6,0.5,-1.6,1.7,0.5,,-1.88,-1.08,2.05,-4.31,2.56,10.48,
156,David Dahl,TEX,-3.9,-1.1,-0.4,0.9,0.3,-1.1,,-2.14,-1.37,-1.71,2.00,0.57,-6.78,
157,Kevin Newman,PIT,-4.0,-0.3,-1.6,-1.0,1.1,-0.3,,-2.46,-0.36,-6.85,-2.71,3.68,-4.21,
158,Ian Happ,CHC,-4.1,2.8,-1.0,-1.0,-1.0,0.7,,-1.50,5.55,-3.30,-2.54,-1.36,13.09,
159,Kyle Tucker,HOU,-4.1,1.6,1.3,-1.5,-1.7,-0.9,,-1.90,1.33,5.17,-3.48,-3.11,-15.54,
160,Justin Upton,LAA,-4.3,0.6,-0.4,2.7,0.7,-0.2,,-2.05,0.45,-3.35,9.33,1.70,-8.40,
161,Willi Castro,DET,-4.4,0.7,-1.6,-1.2,-0.1,-0.4,,-2.09,1.45,-9.14,-2.94,-0.28,-1.70,
162,J.P. Crawford,SEA,-5.1,-0.9,0.9,0.2,1.5,-0.6,,-1.80,-1.51,5.93,0.47,2.99,-4.70,
163,Cesar Hernandez,CLE,-5.2,1.2,-0.8,0.9,-0.3,1.3,,-2.04,1.61,-8.74,2.51,-0.38,14.86,
164,Elvis Andrus,OAK,-5.4,-1.3,-2.0,0.1,-3.0,0.6,,-2.65,-1.60,-4.60,0.19,-7.58,6.14,
165,Alec Bohm,PHI,-5.8,-0.9,0.1,0.1,0.9,0.7,,-1.96,-0.87,0.72,0.42,1.96,18.64,
1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages,1 Page size: select  165 items in 1 pages
