,Home Team,Away Team,HP,HP Throws,HP WOBA Against,AP,AP Throws,AP WOBA Against,HL WOBA,AL WOBA,WOBA Pitcher Difference,WOBA Lineup Difference
0,Twins,Royals,Matt Shoemaker,RHP,2.541,Danny Duffy,LHP,1.811,18.611,17.985,0.73 Away,0.626 Home
1,White Sox,Indians,Lance Lynn,RHP,2.064,Triston McKenzie,RHP,2.783,18.012,14.659,0.719 Home,3.353 Home
